"No.","Time","Source","Destination","Protocol","Length","Info"
"1561","8.635123","192.168.38.104","8.8.8.8","DNS","109","Standard query 0xb194 A /3Dz6rCU.reddshrimpandherring.com.windomain.local"
"1563","8.647563","192.168.38.104","8.8.8.8","DNS","93","Standard query 0x4484 A di8sCDPv.reddshrimpandherring.com"
"1565","8.719963","192.168.38.104","8.8.8.8","DNS","131","Standard query 0xac14 A di8sCDPv.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"1567","8.731446","192.168.38.104","8.8.8.8","DNS","109","Standard query 0x9cc6 A di8sCDPv.reddshrimpandherring.com.windomain.local"
"1569","8.742041","192.168.38.104","8.8.8.8","DNS","93","Standard query 0x06f8 A b38U91ep.reddshrimpandherring.com"
"1571","8.813625","192.168.38.104","8.8.8.8","DNS","131","Standard query 0xb736 A b38U91ep.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"1573","8.825100","192.168.38.104","8.8.8.8","DNS","109","Standard query 0xb821 A b38U91ep.reddshrimpandherring.com.windomain.local"
"1575","8.835440","192.168.38.104","8.8.8.8","DNS","93","Standard query 0xe44d A 2DA0w7Jt.reddshrimpandherring.com"
"1577","8.880742","192.168.38.104","8.8.8.8","DNS","131","Standard query 0x1d6d A 2DA0w7Jt.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"1579","8.894085","192.168.38.104","8.8.8.8","DNS","109","Standard query 0x5ce2 A 2DA0w7Jt.reddshrimpandherring.com.windomain.local"
"1581","8.904459","192.168.38.104","8.8.8.8","DNS","93","Standard query 0x5eb2 A FZYl6dCA.reddshrimpandherring.com"
"1583","8.952363","192.168.38.104","8.8.8.8","DNS","131","Standard query 0x3cc2 A FZYl6dCA.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"1585","8.963629","192.168.38.104","8.8.8.8","DNS","109","Standard query 0x5a40 A FZYl6dCA.reddshrimpandherring.com.windomain.local"
"1587","8.974037","192.168.38.104","8.8.8.8","DNS","93","Standard query 0xb094 A BoORWyDu.reddshrimpandherring.com"
"1589","9.019377","192.168.38.104","8.8.8.8","DNS","131","Standard query 0x7cea A BoORWyDu.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"1591","9.030864","192.168.38.104","8.8.8.8","DNS","109","Standard query 0x708e A BoORWyDu.reddshrimpandherring.com.windomain.local"
"1593","9.041453","192.168.38.104","8.8.8.8","DNS","93","Standard query 0x03f1 A MVsbj1/d.reddshrimpandherring.com"
"1595","9.056766","192.168.38.104","8.8.8.8","DNS","131","Standard query 0xe705 A MVsbj1/d.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"1597","9.067845","192.168.38.104","8.8.8.8","DNS","109","Standard query 0x81a0 A MVsbj1/d.reddshrimpandherring.com.windomain.local"
"1599","9.078735","192.168.38.104","8.8.8.8","DNS","93","Standard query 0xd2d4 A UWrgyXWr.reddshrimpandherring.com"
"1601","9.148170","192.168.38.104","8.8.8.8","DNS","131","Standard query 0xb9a4 A UWrgyXWr.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"1603","9.168302","192.168.38.104","8.8.8.8","DNS","109","Standard query 0x3f44 A UWrgyXWr.reddshrimpandherring.com.windomain.local"
"1605","9.178628","192.168.38.104","8.8.8.8","DNS","93","Standard query 0xccfe A 9NzCwWxd.reddshrimpandherring.com"
"1607","9.200981","192.168.38.104","8.8.8.8","DNS","131","Standard query 0x6c9a A 9NzCwWxd.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"1611","9.212564","192.168.38.104","8.8.8.8","DNS","109","Standard query 0x458f A 9NzCwWxd.reddshrimpandherring.com.windomain.local"
"1613","9.222994","192.168.38.104","8.8.8.8","DNS","93","Standard query 0x233e A m/TqO+IW.reddshrimpandherring.com"
"1615","9.237818","192.168.38.104","8.8.8.8","DNS","131","Standard query 0xd8a7 A m/TqO+IW.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"1617","9.251250","192.168.38.104","8.8.8.8","DNS","109","Standard query 0x215f A m/TqO+IW.reddshrimpandherring.com.windomain.local"
"1622","9.261930","192.168.38.104","8.8.8.8","DNS","93","Standard query 0x7487 A o2ZJtOyF.reddshrimpandherring.com"
"1628","9.307387","192.168.38.104","8.8.8.8","DNS","131","Standard query 0xf18f A o2ZJtOyF.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"1631","9.320742","192.168.38.104","8.8.8.8","DNS","109","Standard query 0xcd93 A o2ZJtOyF.reddshrimpandherring.com.windomain.local"
"1633","9.334169","192.168.38.104","18.217.1.57","DNS","93","Standard query 0xdf26 A cGljb0NU.reddshrimpandherring.com"
"1635","9.389117","192.168.38.104","18.217.1.57","DNS","131","Standard query 0xa12d A cGljb0NU.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"1637","9.440363","192.168.38.104","18.217.1.57","DNS","109","Standard query 0x1dd2 A cGljb0NU.reddshrimpandherring.com.windomain.local"
"1639","9.491830","192.168.38.104","8.8.8.8","DNS","93","Standard query 0x8872 A um0kpvjf.reddshrimpandherring.com"
"1641","9.507474","192.168.38.104","8.8.8.8","DNS","131","Standard query 0x0d00 A um0kpvjf.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"1643","9.518810","192.168.38.104","8.8.8.8","DNS","109","Standard query 0x2b5f A um0kpvjf.reddshrimpandherring.com.windomain.local"
"1645","9.529155","192.168.38.104","8.8.8.8","DNS","93","Standard query 0xa098 A Sox37h19.reddshrimpandherring.com"
"1647","9.541580","192.168.38.104","8.8.8.8","DNS","131","Standard query 0x8e79 A Sox37h19.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"1649","9.554655","192.168.38.104","8.8.8.8","DNS","109","Standard query 0x7ece A Sox37h19.reddshrimpandherring.com.windomain.local"
"1651","9.565033","192.168.38.104","8.8.8.8","DNS","93","Standard query 0xc4ac A Z5hJZHyn.reddshrimpandherring.com"
"1653","9.576922","192.168.38.104","8.8.8.8","DNS","131","Standard query 0xbf63 A Z5hJZHyn.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"1655","9.588158","192.168.38.104","8.8.8.8","DNS","109","Standard query 0x5a1e A Z5hJZHyn.reddshrimpandherring.com.windomain.local"
"1657","9.600522","192.168.38.104","8.8.8.8","DNS","93","Standard query 0xacc9 A nlF4PBzk.reddshrimpandherring.com"
"1659","9.612086","192.168.38.104","8.8.8.8","DNS","131","Standard query 0x8008 A nlF4PBzk.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"1661","9.625615","192.168.38.104","8.8.8.8","DNS","109","Standard query 0x247e A nlF4PBzk.reddshrimpandherring.com.windomain.local"
"1663","9.637994","192.168.38.104","8.8.8.8","DNS","93","Standard query 0xe2e4 A h+CXa09t.reddshrimpandherring.com"
"1665","9.650605","192.168.38.104","8.8.8.8","DNS","131","Standard query 0x8cd3 A h+CXa09t.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"1667","9.664091","192.168.38.104","8.8.8.8","DNS","109","Standard query 0xb69f A h+CXa09t.reddshrimpandherring.com.windomain.local"
"1669","9.674366","192.168.38.104","8.8.8.8","DNS","93","Standard query 0xd80a A tbK/uIWB.reddshrimpandherring.com"
"1671","9.686424","192.168.38.104","8.8.8.8","DNS","131","Standard query 0x7508 A tbK/uIWB.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"1673","9.697698","192.168.38.104","8.8.8.8","DNS","109","Standard query 0x3377 A tbK/uIWB.reddshrimpandherring.com.windomain.local"
"1675","9.708194","192.168.38.104","8.8.8.8","DNS","93","Standard query 0x3d13 A 2a3XH03l.reddshrimpandherring.com"
"1679","9.753978","192.168.38.104","8.8.8.8","DNS","131","Standard query 0xbfdd A 2a3XH03l.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"1681","9.768033","192.168.38.104","8.8.8.8","DNS","109","Standard query 0x17e7 A 2a3XH03l.reddshrimpandherring.com.windomain.local"
"1683","9.780547","192.168.38.104","8.8.8.8","DNS","93","Standard query 0xa010 A J0AWOs3w.reddshrimpandherring.com"
"1692","9.825319","192.168.38.104","8.8.8.8","DNS","131","Standard query 0x29a4 A J0AWOs3w.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"1694","9.836681","192.168.38.104","8.8.8.8","DNS","109","Standard query 0xcb2a A J0AWOs3w.reddshrimpandherring.com.windomain.local"
"1697","9.849197","192.168.38.104","8.8.8.8","DNS","93","Standard query 0xd2b1 A FIAowc1g.reddshrimpandherring.com"
"1699","9.919916","192.168.38.104","8.8.8.8","DNS","131","Standard query 0x3ea2 A FIAowc1g.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"1701","9.931050","192.168.38.104","8.8.8.8","DNS","109","Standard query 0x9f28 A FIAowc1g.reddshrimpandherring.com.windomain.local"
"1703","9.941181","192.168.38.104","8.8.8.8","DNS","93","Standard query 0x0036 A drwIRfot.reddshrimpandherring.com"
"1705","9.953338","192.168.38.104","8.8.8.8","DNS","131","Standard query 0xb145 A drwIRfot.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"1707","9.964508","192.168.38.104","8.8.8.8","DNS","109","Standard query 0xe270 A drwIRfot.reddshrimpandherring.com.windomain.local"
"1709","9.976955","192.168.38.104","8.8.8.8","DNS","93","Standard query 0xb3c4 A ZjLL+DYc.reddshrimpandherring.com"
"1711","9.999684","192.168.38.104","8.8.8.8","DNS","131","Standard query 0xde6d A ZjLL+DYc.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"1713","10.010855","192.168.38.104","8.8.8.8","DNS","109","Standard query 0xfe50 A ZjLL+DYc.reddshrimpandherring.com.windomain.local"
"1715","10.021392","192.168.38.104","8.8.8.8","DNS","93","Standard query 0xc8cd A kXD4OIb9.reddshrimpandherring.com"
"1732","10.068179","192.168.38.104","8.8.8.8","DNS","131","Standard query 0xa9da A kXD4OIb9.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"1736","10.079599","192.168.38.104","8.8.8.8","DNS","109","Standard query 0x6ac8 A kXD4OIb9.reddshrimpandherring.com.windomain.local"
"1738","10.090264","192.168.38.104","8.8.8.8","DNS","93","Standard query 0xc679 A h81LA4Xw.reddshrimpandherring.com"
"1744","10.135694","192.168.38.104","8.8.8.8","DNS","131","Standard query 0x3c8e A h81LA4Xw.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"1746","10.149836","192.168.38.104","8.8.8.8","DNS","109","Standard query 0xfdf5 A h81LA4Xw.reddshrimpandherring.com.windomain.local"
"1749","10.160315","192.168.38.104","8.8.8.8","DNS","93","Standard query 0x37b7 A nT95IG26.reddshrimpandherring.com"
"1751","10.206166","192.168.38.104","8.8.8.8","DNS","131","Standard query 0x88c1 A nT95IG26.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"1753","10.219301","192.168.38.104","8.8.8.8","DNS","109","Standard query 0x1050 A nT95IG26.reddshrimpandherring.com.windomain.local"
"1755","10.229414","192.168.38.104","8.8.8.8","DNS","93","Standard query 0xfd89 A BySoFVNP.reddshrimpandherring.com"
"1759","10.243179","192.168.38.104","8.8.8.8","DNS","131","Standard query 0x58ae A BySoFVNP.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"1761","10.254761","192.168.38.104","8.8.8.8","DNS","109","Standard query 0xc143 A BySoFVNP.reddshrimpandherring.com.windomain.local"
"1763","10.264976","192.168.38.104","8.8.8.8","DNS","93","Standard query 0x4c4f A kqOgISqa.reddshrimpandherring.com"
"1765","10.290452","192.168.38.104","8.8.8.8","DNS","131","Standard query 0xf814 A kqOgISqa.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"1774","10.302544","192.168.38.104","8.8.8.8","DNS","109","Standard query 0x1b25 A kqOgISqa.reddshrimpandherring.com.windomain.local"
"1776","10.313420","192.168.38.104","8.8.8.8","DNS","93","Standard query 0xa0cf A YuvBSCsM.reddshrimpandherring.com"
"1778","10.326175","192.168.38.104","8.8.8.8","DNS","131","Standard query 0x1c9d A YuvBSCsM.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"1780","10.339640","192.168.38.104","8.8.8.8","DNS","109","Standard query 0xe865 A YuvBSCsM.reddshrimpandherring.com.windomain.local"
"1783","10.349854","192.168.38.104","8.8.8.8","DNS","93","Standard query 0xd466 A bq7AocPI.reddshrimpandherring.com"
"1785","10.362188","192.168.38.104","8.8.8.8","DNS","131","Standard query 0xa7e7 A bq7AocPI.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"1787","10.375664","192.168.38.104","8.8.8.8","DNS","109","Standard query 0x0882 A bq7AocPI.reddshrimpandherring.com.windomain.local"
"1789","10.388031","192.168.38.104","8.8.8.8","DNS","93","Standard query 0xbe8b A JSAAt3gF.reddshrimpandherring.com"
"1791","10.400187","192.168.38.104","8.8.8.8","DNS","131","Standard query 0xfc9e A JSAAt3gF.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"1793","10.411391","192.168.38.104","8.8.8.8","DNS","109","Standard query 0x08b6 A JSAAt3gF.reddshrimpandherring.com.windomain.local"
"1795","10.421706","192.168.38.104","8.8.8.8","DNS","93","Standard query 0xf676 A x5HUgibz.reddshrimpandherring.com"
"1797","10.433732","192.168.38.104","8.8.8.8","DNS","131","Standard query 0x820b A x5HUgibz.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"1799","10.445019","192.168.38.104","8.8.8.8","DNS","109","Standard query 0xcf90 A x5HUgibz.reddshrimpandherring.com.windomain.local"
"1801","10.457318","192.168.38.104","8.8.8.8","DNS","93","Standard query 0xb1f6 A OsGF7kWB.reddshrimpandherring.com"
"1803","10.504367","192.168.38.104","8.8.8.8","DNS","131","Standard query 0x3152 A OsGF7kWB.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"1805","10.515844","192.168.38.104","8.8.8.8","DNS","109","Standard query 0xb674 A OsGF7kWB.reddshrimpandherring.com.windomain.local"
"1807","10.526131","192.168.38.104","8.8.8.8","DNS","93","Standard query 0x6acc A K99ppjF/.reddshrimpandherring.com"
"1809","10.570599","192.168.38.104","8.8.8.8","DNS","131","Standard query 0xcc29 A K99ppjF/.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"1811","10.581866","192.168.38.104","8.8.8.8","DNS","109","Standard query 0xac5c A K99ppjF/.reddshrimpandherring.com.windomain.local"
"1813","10.592635","192.168.38.104","8.8.8.8","DNS","93","Standard query 0xfe4b A jTyNCNhU.reddshrimpandherring.com"
"1815","10.607597","192.168.38.104","8.8.8.8","DNS","131","Standard query 0x4c01 A jTyNCNhU.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"1817","10.618599","192.168.38.104","8.8.8.8","DNS","109","Standard query 0x2614 A jTyNCNhU.reddshrimpandherring.com.windomain.local"
"1819","10.629075","192.168.38.104","8.8.8.8","DNS","93","Standard query 0x791f A cWVizacs.reddshrimpandherring.com"
"1873","10.703358","192.168.38.104","8.8.8.8","DNS","131","Standard query 0xdbf6 A cWVizacs.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"1890","10.714661","192.168.38.104","8.8.8.8","DNS","109","Standard query 0x5fa4 A cWVizacs.reddshrimpandherring.com.windomain.local"
"1892","10.727196","192.168.38.104","8.8.8.8","DNS","93","Standard query 0xbef2 A K4DhGAWE.reddshrimpandherring.com"
"1896","10.752590","192.168.38.104","8.8.8.8","DNS","131","Standard query 0xf79e A K4DhGAWE.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"1898","10.766162","192.168.38.104","8.8.8.8","DNS","109","Standard query 0x5426 A K4DhGAWE.reddshrimpandherring.com.windomain.local"
"1900","10.776686","192.168.38.104","8.8.8.8","DNS","93","Standard query 0xcc97 A uAY+tVE7.reddshrimpandherring.com"
"1909","10.820954","192.168.38.104","8.8.8.8","DNS","131","Standard query 0x33c0 A uAY+tVE7.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"1911","10.832692","192.168.38.104","8.8.8.8","DNS","109","Standard query 0x6a18 A uAY+tVE7.reddshrimpandherring.com.windomain.local"
"1914","10.843198","192.168.38.104","8.8.8.8","DNS","93","Standard query 0x6370 A 60aidRgy.reddshrimpandherring.com"
"1916","10.855892","192.168.38.104","8.8.8.8","DNS","131","Standard query 0xb619 A 60aidRgy.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"1918","10.875432","192.168.38.104","8.8.8.8","DNS","109","Standard query 0x311d A 60aidRgy.reddshrimpandherring.com.windomain.local"
"1920","10.885817","192.168.38.104","8.8.8.8","DNS","93","Standard query 0xe02d A nBt3Mokk.reddshrimpandherring.com"
"1922","10.897678","192.168.38.104","8.8.8.8","DNS","131","Standard query 0x0c38 A nBt3Mokk.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"1924","10.909344","192.168.38.104","8.8.8.8","DNS","109","Standard query 0x0803 A nBt3Mokk.reddshrimpandherring.com.windomain.local"
"1926","10.922258","192.168.38.104","8.8.8.8","DNS","93","Standard query 0x7b04 A 30d1RFWu.reddshrimpandherring.com"
"1928","10.991855","192.168.38.104","8.8.8.8","DNS","131","Standard query 0x5540 A 30d1RFWu.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"1930","11.003022","192.168.38.104","8.8.8.8","DNS","109","Standard query 0x30a0 A 30d1RFWu.reddshrimpandherring.com.windomain.local"
"1932","11.017761","192.168.38.104","8.8.8.8","DNS","93","Standard query 0xc695 A +9eXNk0X.reddshrimpandherring.com"
"1934","11.063498","192.168.38.104","8.8.8.8","DNS","131","Standard query 0x0621 A +9eXNk0X.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"1936","11.075110","192.168.38.104","8.8.8.8","DNS","109","Standard query 0xd02b A +9eXNk0X.reddshrimpandherring.com.windomain.local"
"1938","11.085850","192.168.38.104","8.8.8.8","DNS","93","Standard query 0x23db A TI2DYRO/.reddshrimpandherring.com"
"1940","11.128568","192.168.38.104","8.8.8.8","DNS","131","Standard query 0x880e A TI2DYRO/.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"1942","11.139895","192.168.38.104","8.8.8.8","DNS","109","Standard query 0xd32c A TI2DYRO/.reddshrimpandherring.com.windomain.local"
"1944","11.150344","192.168.38.104","8.8.8.8","DNS","93","Standard query 0x4731 A 9MjYzoLj.reddshrimpandherring.com"
"1946","11.162207","192.168.38.104","8.8.8.8","DNS","131","Standard query 0xb684 A 9MjYzoLj.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"1948","11.175383","192.168.38.104","8.8.8.8","DNS","109","Standard query 0x262f A 9MjYzoLj.reddshrimpandherring.com.windomain.local"
"1950","11.187990","192.168.38.104","8.8.8.8","DNS","93","Standard query 0x4435 A Z+BtbAta.reddshrimpandherring.com"
"1954","11.267496","192.168.38.104","8.8.8.8","DNS","131","Standard query 0x7f56 A Z+BtbAta.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"1956","11.279015","192.168.38.104","8.8.8.8","DNS","109","Standard query 0xf956 A Z+BtbAta.reddshrimpandherring.com.windomain.local"
"1961","11.289386","192.168.38.104","8.8.8.8","DNS","93","Standard query 0xd8b3 A YkmRh2nr.reddshrimpandherring.com"
"1967","11.311600","192.168.38.104","8.8.8.8","DNS","131","Standard query 0x2841 A YkmRh2nr.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"1969","11.322997","192.168.38.104","8.8.8.8","DNS","109","Standard query 0x58b9 A YkmRh2nr.reddshrimpandherring.com.windomain.local"
"1971","11.333536","192.168.38.104","8.8.8.8","DNS","93","Standard query 0x487b A OTPSYXkE.reddshrimpandherring.com"
"1974","11.346047","192.168.38.104","8.8.8.8","DNS","131","Standard query 0xca7c A OTPSYXkE.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"1982","11.365858","192.168.38.104","8.8.8.8","DNS","109","Standard query 0x919c A OTPSYXkE.reddshrimpandherring.com.windomain.local"
"1984","11.376300","192.168.38.104","8.8.8.8","DNS","93","Standard query 0x44c8 A uXvd48AT.reddshrimpandherring.com"
"1986","11.401745","192.168.38.104","8.8.8.8","DNS","131","Standard query 0x11f2 A uXvd48AT.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"1988","11.421635","192.168.38.104","8.8.8.8","DNS","109","Standard query 0xb60e A uXvd48AT.reddshrimpandherring.com.windomain.local"
"1990","11.432498","192.168.38.104","8.8.8.8","DNS","93","Standard query 0x9c4d A /PNsKWtj.reddshrimpandherring.com"
"1992","11.445068","192.168.38.104","8.8.8.8","DNS","131","Standard query 0x272c A /PNsKWtj.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"1994","11.456355","192.168.38.104","8.8.8.8","DNS","109","Standard query 0xbe0a A /PNsKWtj.reddshrimpandherring.com.windomain.local"
"1996","11.466780","192.168.38.104","8.8.8.8","DNS","93","Standard query 0xa857 A tFSfHl/9.reddshrimpandherring.com"
"1998","11.512145","192.168.38.104","8.8.8.8","DNS","131","Standard query 0x63a7 A tFSfHl/9.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"2000","11.523771","192.168.38.104","8.8.8.8","DNS","109","Standard query 0xd664 A tFSfHl/9.reddshrimpandherring.com.windomain.local"
"2002","11.534498","192.168.38.104","8.8.8.8","DNS","93","Standard query 0x62cb A 5HyMGCS6.reddshrimpandherring.com"
"2004","11.580735","192.168.38.104","8.8.8.8","DNS","131","Standard query 0x03f6 A 5HyMGCS6.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"2006","11.592270","192.168.38.104","8.8.8.8","DNS","109","Standard query 0x64ce A 5HyMGCS6.reddshrimpandherring.com.windomain.local"
